tripID,CLS_ID,nbAnglers,return_date_ymd,state,RED SNAPPER_kept,RED SNAPPER_released,VERMILION SNAPPER_kept,VERMILION SNAPPER_released,KING MACKEREL_kept,KING MACKEREL_released,SPANISH MACKEREL_kept,SPANISH MACKEREL_released,RED GROUPER_kept,RED GROUPER_released,WHITE GRUNT_kept,WHITE GRUNT_released,RED PORGY_kept,RED PORGY_released
7361,192,6,2017-01-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7362,231,5,2017-01-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
7366,158,4,2017-01-01,FL,NA,NA,6,2,NA,NA,NA,NA,5,41,3,8,NA,NA
7367,242,5,2017-01-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7368,192,5,2017-01-01,FL,NA,NA,NA,NA,1,2,NA,NA,1,15,NA,NA,NA,NA
7369,234,4,2017-01-01,FL,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA
7370,194,5,2017-01-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,6,40,NA,NA,NA,NA
7371,231,5,2017-01-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,20,NA,NA
7372,156,3,2017-01-02,FL,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA
7373,192,5,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,2,20,NA,NA,NA,NA
7375,202,3,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7376,259,2,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA
7377,158,4,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,7,64,5,4,NA,NA
7378,234,6,2017-01-02,FL,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA
7379,192,6,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,NA,NA
7381,231,6,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7382,231,5,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,NA,NA
7383,194,6,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,6,50,NA,NA,NA,NA
7384,156,3,2017-01-03,FL,NA,NA,NA,NA,0,9,0,1,NA,NA,NA,NA,NA,NA
7385,202,4,2017-01-03,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7387,201,4,2017-01-03,FL,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA
7389,259,6,2017-01-03,FL,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA,NA
7390,242,6,2017-01-03,FL,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7391,194,6,2017-01-03,FL,NA,NA,NA,NA,NA,NA,NA,NA,8,40,NA,NA,NA,NA
7392,156,5,2017-01-04,FL,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA
7394,202,4,2017-01-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7395,159,6,2017-01-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,13,29,NA,NA,NA,NA
7396,194,2,2017-01-04,FL,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA
7397,194,4,2017-01-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA
7398,231,5,2017-01-04,FL,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA
7399,231,5,2017-01-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,NA,NA
7401,260,4,2017-01-04,FL,NA,NA,NA,NA,1,0,NA,NA,0,1,10,60,NA,NA
7403,192,5,2017-01-05,FL,NA,NA,NA,NA,NA,NA,NA,NA,11,20,NA,NA,NA,NA
7404,158,4,2017-01-03,FL,NA,NA,NA,NA,5,11,NA,NA,0,6,0,26,NA,NA
7405,242,4,2017-01-05,FL,0,8,NA,NA,NA,NA,NA,NA,4,10,10,0,NA,NA
7406,159,6,2017-01-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,13,23,NA,NA,NA,NA
7407,234,3,2017-01-04,FL,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
7408,234,4,2017-01-05,FL,NA,NA,NA,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA
7409,194,5,2017-01-05,FL,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
7410,194,5,2017-01-05,FL,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
7412,158,5,2017-01-04,FL,NA,NA,NA,NA,7,10,NA,NA,NA,NA,NA,NA,NA,NA
7413,156,6,2017-01-06,FL,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA
7414,158,3,2017-01-05,FL,NA,NA,9,2,NA,NA,NA,NA,5,48,2,12,NA,NA
7415,158,6,2017-01-06,FL,NA,NA,NA,NA,6,10,NA,NA,0,9,0,17,NA,NA
7416,202,4,2017-01-06,FL,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA,NA
7417,159,6,2017-01-05,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,19,NA,NA,NA,NA
7418,158,6,2017-01-10,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,16,17,5,NA,NA
