w_ex,w_trip,strat_id,psu_id,YEAR,ST,ID_CODE,WAVE,var_id,CLS,wp_int,wp_catch,prim1_common,PARTY,INTSITE,TIME,PRT_CODE,CLS_ID,date,date_time_mrip,w_psu,w_int,ALMACO JACK_claim,ALMACO JACK_release,ATLANTIC SHARPNOSE SHARK_claim,ATLANTIC SHARPNOSE SHARK_release,BANDED RUDDERFISH_claim,BANDED RUDDERFISH_release,BLACK GROUPER_claim,BLACK GROUPER_release,BLACK SEA BASS_claim,BLACK SEA BASS_release,BLACKFIN TUNA_claim,BLACKFIN TUNA_release,BLACKTIP SHARK_claim,BLACKTIP SHARK_release,BLUEFISH_claim,BLUEFISH_release,COBIA_claim,COBIA_release,DOLPHIN_claim,DOLPHIN_release,GAG_claim,GAG_release,GRAY SNAPPER_claim,GRAY SNAPPER_release,GRAY TRIGGERFISH_claim,GRAY TRIGGERFISH_release,GREAT BARRACUDA_claim,GREAT BARRACUDA_release,GREATER AMBERJACK_claim,GREATER AMBERJACK_release,HOGFISH_claim,HOGFISH_release,KING MACKEREL_claim,KING MACKEREL_release,LANE SNAPPER_claim,LANE SNAPPER_release,LEMON SHARK_claim,LEMON SHARK_release,LIONFISH_claim,LIONFISH_release,LITTLE TUNNY_claim,LITTLE TUNNY_release,LITTLEHEAD PORGY_claim,LITTLEHEAD PORGY_release,MUTTON SNAPPER_claim,MUTTON SNAPPER_release,RED DRUM_claim,RED DRUM_release,RED GROUPER_claim,RED GROUPER_release,RED PORGY_claim,RED PORGY_release,RED SNAPPER_claim,RED SNAPPER_release,SAILFISH_claim,SAILFISH_release,SAND SEATROUT_claim,SAND SEATROUT_release,SCAMP_claim,SCAMP_release,SHEEPSHEAD_claim,SHEEPSHEAD_release,SPANISH MACKEREL_claim,SPANISH MACKEREL_release,SPINNER SHARK_claim,SPINNER SHARK_release,SPOTTED SEATROUT_claim,SPOTTED SEATROUT_release,TRIPLETAIL_claim,TRIPLETAIL_release,VERMILION SNAPPER_claim,VERMILION SNAPPER_release,WAHOO_claim,WAHOO_release,WHITE GRUNT_claim,WHITE GRUNT_release,WHITEBONE PORGY_claim,WHITEBONE PORGY_release,YELLOWTAIL SNAPPER_claim,YELLOWTAIL SNAPPER_release,mrip_non_cls_claim,mrip_non_cls_release,wave_year
1,102.77793162659538,2017011215wdS:8AM-8PM,20171121515660202e5,2017,12,1566020170104001a,1,2017011215wdS:8AM-8PM,NA,7.4188231770665,7.4188231770665,RED DRUM,2,972,15:06:00,1566020170104001a,NA,2017-01-04,2017-01-04T15:06:00Z,58.72453648153355,102.77793162659538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_2017
1,78.8309191970563,2017011215weS:8AM-8PM,20171121515724202e5,2017,12,1572420170128001a,1,2017011215weS:8AM-8PM,NA,231.015396741872,231.015396741872,VERMILION SNAPPER,5,693,14:46:00,1572420170128001a,NA,2017-01-28,2017-01-28T14:46:00Z,29.902280130293164,78.8309191970563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,49,1_2017
1,87.6562860497169,2017011225weS:8AM-8PM,20171122512979202e5,2017,12,1297920170116001a,1,2017011225weS:8AM-8PM,NA,89.8317380746098,89.8317380746098,SPOTTED SEATROUT,1,494,12:15:00,1297920170116001a,NA,2017-01-16,2017-01-16T12:15:00Z,34.45296437885531,87.6562860497169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1_2017
1,1716.8574439625615,2017011235wdS:8AM-8PM,201711235157402e7,2017,12,1574020170126001a,1,2017011235wdS:8AM-8PM,NA,2214.91153511955,2214.91153511955,NA,6,314,15:50:00,1574020170126001a,NA,2017-01-26,2017-01-26T15:50:00Z,260.89500373940893,1716.8574439625615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,31,0,1,1,1_2017
4,99.9831388023358,2017011235weS:8AM-8PM,201711235100092e7,2017,12,1000920170121003a,1,2017011235weS:8AM-8PM,NA,824.381580069496,824.381580069496,UNIDENTIFIED SHARK OR RAY,4,3491,12:27:00,1000920170121003a,NA,2017-01-21,2017-01-21T12:27:00Z,34.82777823652584,399.9325552093432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1_2017
1,113.65729407000704,2017011235weS:8AM-8PM,201711235129792e7,2017,12,1297920170114002a,1,2017011235weS:8AM-8PM,Y,110.256574869753,110.256574869753,WHITE GRUNT,4,892,12:00:00,1297920170114002a,231,2017-01-14,2017-01-14T12:00:00Z,54.84701803859055,113.65729407000704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,1_2017
1,194.33505018286192,2017011235weS:8AM-8PM,201711235129792e7,2017,12,1297920170121012a,1,2017011235weS:8AM-8PM,NA,283.279633194197,283.279633194197,HOGFISH,3,767,16:00:00,1297920170121012a,NA,2017-01-21,2017-01-21T16:00:00Z,174.88237032837682,194.33505018286195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1_2017
1,512.4159108933299,2017011235weS:8AM-8PM,20171123515654202e5,2017,12,1565420170106001a,1,2017011235weS:8AM-8PM,NA,954.348886442455,954.348886442455,SPOTTED SEATROUT,4,1921,12:10:00,1565420170106001a,NA,2017-01-06,2017-01-06T12:10:00Z,214.07348474261445,512.4159108933299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1_2017
1,19.519857483394468,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170115001a,1,2017011235weS:8AM-8PM,Y,59.2359625022526,59.2359625022526,HOGFISH,4,524,11:36:00,1574020170115001a,220,2017-01-15,2017-01-15T11:36:00Z,0.8120521554111114,19.519857483394468,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,5,1_2017
1,19.519857483394468,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170115005a,1,2017011235weS:8AM-8PM,Y,59.2359625022526,59.2359625022526,RED GROUPER,2,524,12:35:00,1574020170115005a,251,2017-01-15,2017-01-15T12:35:00Z,0.8120521554111114,19.519857483394468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1_2017
